camID,OpenWater1500,DevOpenSpace1500,DevLowInt1500,DevMedInt1500,DevHighInt1500,Barren1500,DecForest1500,ConForest1500,mixedForest1500,Shrub1500,GrassHerb1500,Pasture1500,Crops1500,WoodyWetland1500,EmergWetland1500,OpenWater1000,DevOpenSpace1000,DevLowInt1000,DevMedInt1000,DevHighInt1000,Barren1000,DecForest1000,ConForest1000,mixedForest1000,Shrub1000,GrassHerb1000,Pasture1000,Crops1000,WoodyWetland1000,EmergWetland1000,OpenWater500,DevOpenSpace500,DevLowInt500,DevMedInt500,DevHighInt500,Barren500,DecForest500,ConForest500,mixedForest500,Shrub500,GrassHerb500,Pasture500,Crops500,WoodyWetland500,EmergWetland500,SHDI_500,SHDI_1000,SHDI_1500,AllRds1500,AllRds1000,AllRds500,MainRds1500,MainRds1000,MainRds500,distmainrds,DistanceStreams
ZC37,0,360,3,0,0,0,6627,665,0,167,26,0,0,0,0,0,103,0,0,0,0,3059,215,0,82,26,0,0,0,0,0,33,0,0,0,0,814,8,0,14,0,0,0,0,0,0.329173028,0.308310956,0.423328072,33587.09263,10518.12814,3148.606099,0,0,0,9872.473633,538.5164795
ZC38,34,320,21,1,0,0,6654,719,0,43,57,0,0,0,0,0,140,18,1,0,0,2815,470,0,15,24,0,0,0,0,0,40,6,0,0,0,631,197,0,0,0,0,0,0,0,0.70006299,0.694047391,0.664285898,40150.1663,15620.45527,4429.77392,0,0,0,12490.67188,806.225769
ZC39,74,286,9,0,0,0,7221,231,0,27,6,0,0,0,0,17,145,6,0,0,0,3199,93,0,23,0,0,0,0,0,0,68,0,0,0,0,761,28,0,16,0,0,0,0,0,0.431740135,0.458799809,0.379856437,33990.80602,15318.25093,6027.533939,0,0,0,9048.678711,632.4555054
ZC40,74,236,0,0,0,0,7459,45,0,36,0,0,0,0,0,20,123,0,0,0,0,3295,29,0,22,0,0,0,0,0,8,46,0,0,0,0,797,3,0,18,0,0,0,0,0,0.242488042,0.369738251,0.318696618,30727.4471,16141.18596,6303.246285,0,0,0,11832.71582,707.1068115
ZC41,53,224,2,0,0,0,7362,185,0,13,12,0,0,0,0,14,113,2,0,0,0,3328,9,0,13,5,0,0,0,0,0,38,0,0,0,0,836,0,0,0,0,0,0,0,0,0.269200653,0.169226095,0.177945599,27986.4912,13477.03893,3266.476362,0,0,0,5081.056641,360.5551147
VC42,0,437,3,0,0,10,7095,128,0,62,112,0,0,0,0,0,235,0,0,0,0,3170,62,0,0,20,0,0,0,0,0,58,0,0,0,0,798,14,0,0,0,0,0,0,0,0.389750361,0.333314717,0.341163844,19446.79253,8929.768494,0,567.5677298,0,0,4841.869629,0
VC43,0,512,17,0,0,13,6274,388,0,140,504,0,0,0,0,0,195,0,0,0,0,2652,255,0,0,377,0,0,0,0,0,37,0,0,0,0,669,88,0,0,79,0,0,0,0,0.645362079,0.804999352,0.769248664,34086.81948,16651.52506,3686.695776,7790.053218,1687.281781,0,3052.762207,500
VC44,5,449,2,0,0,186,5974,234,0,69,876,54,0,0,0,0,203,2,0,0,23,2633,192,0,14,416,0,0,0,0,0,50,0,0,0,0,716,59,0,2,48,0,0,0,0,0.447864681,0.784651935,0.818465173,19630.22999,9140.5994,803.8831924,8413.752082,4458.330271,0,1870.074951,583.0952148
VC45,0,244,0,0,0,25,7238,263,0,50,22,0,0,0,0,0,123,0,0,0,18,3152,157,0,35,8,0,0,0,0,0,27,0,0,0,0,839,0,0,9,0,0,0,0,0,0.150392294,0.223624334,0.355580896,10240.45998,1683.171029,0,0,0,0,9975.945313,1000
VC46,0,422,3,0,0,13,6672,425,0,263,55,0,0,0,0,0,244,2,0,0,0,3014,141,0,59,23,0,0,0,0,0,61,0,0,0,0,703,86,0,0,23,0,0,0,0,0.673835158,0.626829803,0.51914835,16500.5571,9663.568541,3182.757101,0,0,0,10713.86719,300
VC47,0,399,0,0,0,28,6563,580,0,46,226,5,0,0,0,0,173,0,0,0,0,2766,435,0,46,67,0,0,0,0,0,41,0,0,0,0,654,126,0,46,5,0,0,0,0,0.849264503,0.80631268,0.720490515,27931.99612,16691.40073,6489.952283,0,0,0,9547.732422,824.6211548
VC48,0,257,0,0,0,7,7198,47,0,282,54,0,0,0,0,0,125,0,0,0,0,3198,38,0,127,0,0,0,0,0,0,41,0,0,0,0,727,18,0,85,0,0,0,0,0,0.975519657,0.534709394,0.401786357,24864.96711,17141.1518,8340.403999,0,0,0,8211.854492,640.312439
VC49,0,83,0,0,0,0,7587,77,0,38,43,12,0,0,0,0,17,0,0,0,0,3373,77,0,7,15,0,0,0,0,0,0,0,0,0,0,794,77,0,0,0,0,0,0,0,0.506105065,0.255464077,0.195944056,18644.65857,3335.317331,0,0,0,0,7087.283691,447.2135925
VC50,0,531,18,0,0,0,6641,92,0,84,61,297,123,0,0,0,188,3,0,0,0,2936,73,0,83,7,187,13,0,0,0,26,0,0,0,0,751,42,0,39,7,4,0,0,0,0.341083497,0.56542927,0.710589051,36073.81326,13946.09236,2114.118303,4376.177213,0,0,4226.548828,1476.4823
VC51,0,281,2,0,0,6,6930,109,0,76,316,53,77,0,0,0,151,0,0,0,6,3054,10,0,62,115,35,56,0,0,0,42,0,0,0,6,763,0,0,12,30,14,5,0,0,0.476713717,0.677150548,0.56646347,35137.068,16515.03643,3377.925491,0,0,0,13144.06836,447.2135925
